Id,Prediction
1,-0.8930455446483565
2,-1.3665724695966817
3,-1.1876842169326252
4,-0.9288961338744827
5,-0.8622564663743928
6,-0.927872699145432
7,-2.4811530789463614
8,-1.9610728553137247
9,-1.0799834072552048
10,-0.2532009778518678
11,-1.586720321743422
12,-1.6282149309590326
13,-0.06285093708613909
14,-2.5844438024787344
15,-1.658259532884797
16,-1.9735458310096536
17,-1.9286978111200996
18,-2.4150538421173366
19,-2.04045571899045
20,-1.031803359288058
21,-1.2638312591776821
22,-0.19438495513220203
23,0.6866215189872658
24,-1.9064010581160005
25,-1.517987171252279
26,-1.2359683301052062
27,-1.8832626725938395
28,-0.03924002417426535
29,-0.9775307178127237
30,-1.5203567560426918
31,-1.0157183618745225
32,-0.9381827344078635
33,-1.5192325428587912
34,-1.0409621418389732
35,-1.4519148321026722
36,-0.8444820068219181
37,-0.7919092470663476
38,-1.1876672934777042
39,-1.5598934438181744
40,-1.6705019983856846
41,-1.6235743313652824
42,-1.7311422384694308
43,-2.434186826376225
44,-2.2667991716499953
45,-1.571477762293399
46,-1.4480970021136785
47,-1.9499623114317433
48,-0.8364880624657264
49,-0.8735365170058771
50,-1.6583453663879133
51,-1.3637824447165496
52,-1.2043764760702966
53,-1.2118797935598276
54,-1.075773551171582
55,-1.5863304372313032
56,-1.7904798986482957
57,-1.5042548413479992
58,-0.9111684632608464
59,0.890008016846033
60,-2.7400770970630797
61,-1.7264905583121632
62,-1.7004697139544416
63,0.2939542209220351
64,-1.120115890465723
65,-0.5053046804139464
66,-1.7266331273824904
67,-1.8004509261393034
68,-1.9122457513163629
69,-0.9046908818453618
70,-1.9841134555683277
71,0.6188393290872471
72,-2.297901321331841
73,-1.4022948054105646
74,-1.9856266240345677
75,-1.3163483285367008
76,-1.4020238639342848
77,-0.8196173176719362
78,-1.8440826161870105
79,-0.8783856142717806
80,0.20711031687597853
81,-1.9845294306576615
82,0.09016187089387248
83,-2.312792551148617
84,-2.140913497468929
85,-1.6546651171921678
86,-1.3562194452719645
87,-2.9115362120188513
88,-1.2391114100624812
89,-0.4061223842195557
90,-1.4044470983373778
91,-1.3497222648993434
92,1.1547615764860573
93,-2.1189856817708135
94,0.36440356879364905
95,-2.2275948394584217
96,-0.5342653061695247
97,-1.5056499556132983
98,-1.0597699836628414
99,-0.5300804780008244
100,0.17644729865793882
101,-1.1133636952552264
102,-1.972517573845534
103,-1.3059769087031041
104,-0.5781465616414991
105,-0.6625790281568096
106,-0.8150310983095357
107,-1.158279508169933
108,-0.06546846045311626
109,-0.6057595037946848
110,-0.5883832969458066
111,-0.5349333471388261
